Zona;Provincia;Canton;Distrito;Circuito;Fecha Infracción;Hora Infracción;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 5;LOS_RIOS;BABA;BABAHOYO;BABA;18/01/2014;7:15;Asesinatos;53;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;DURAN;DURAN;RECREO;11/02/2014;;Asesinatos;42;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;PASCUALES;29/01/2014;20:45;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO ESTE;CRISTO VIVE;06/03/2014;3:30;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;QUININDE;02/03/2014;9:00;Homicidios;38;MASCULINO;CASADO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;CRISTO DEL CONSUELO;28/04/2014;21:30;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;CHALA;19/01/2014;5:30;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;7 DE OCTUBRE;17/03/2014;20:30;Asesinatos;55;MASCULINO;SOLTERO;ECUADOR
ZONA 1;IMBABURA;COTACACHI;TIERRA DEL SOL;COTACACHI;22/02/2014;9:30;Homicidios;84;MASCULINO;CASADO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SACHAS;14/01/2014;21:00;Homicidios;28;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;BASTION POPULAR NORTE;13/01/2014;22:30;Sicariatos;27;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;SAUCES;03/03/2014;22:30;Homicidios;32;MASCULINO;SOLTERO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO ESTE;ALLURIQUIN;23/03/2014;5:30;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;CUBE;30/01/2014;11:00;Asesinatos;50;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;03/03/2014;23:40;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;RIO_VERDE;RIO VERDE;MONTALVO;04/02/2014;0:00;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;12/01/2014;6:00;Asesinatos;37;MASCULINO;CASADO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SAN SEBASTIAN;23/01/2014;6:00;Homicidios;29;MASCULINO;CASADO;ECUADOR
ZONA 4;MANABI;TOSAGUA;ROCAFUERTE;LA FLORIDA;02/04/2014;10:00;Homicidios;56;FEMENINO;DIVORCIADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;MONTE SINAI;05/08/2014;9:00;Asesinatos;60;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;9 DE MAYO;28/01/2014;20:30;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;BASTION POPULAR SUR;04/03/2014;4:00;Asesinatos;40;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;CRISTO DEL CONSUELO;28/04/2014;20:10;Asesinatos;;MASCULINO;NO DETERMINADO;PERU
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;DIVINO NIÑO;05/01/2014;12:00;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;PASCUALES;29/01/2014;19:30;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;LIMONCOCHA;03/02/2014;18:30;Homicidios;42;MASCULINO;CASADO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;CONTROL;20/01/2014;11:00;Asesinatos;67;MASCULINO;SOLTERO;ECUADOR
